Photo-ID,Cockle-ID,Cassette-ID,Site,Location_UpdatedNames,Date,Width (cm),Height (cm),Notes
1,1,1,Blyn tidelands,Farm,4/10/20,5.994,5.331,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes - only 10 because 1 was dead"
2,2,2,Blyn tidelands,Farm,4/10/20,5.19,4.66,
3,3,3,Blyn tidelands,Farm,4/10/20,6.16,5.45,
4,4,4,Blyn tidelands,Farm,4/10/20,4.501,3.638,
5,5,5,Blyn tidelands,Farm,4/10/20,5.304,4.802,
6,6,6,Blyn tidelands,Farm,4/10/20,6.631,5.468,
7,7,7,Blyn tidelands,Farm,4/10/20,5.768,4.865,
8,NA,NA,NA,Farm,NA,NA,NA,
9,8,8,Blyn tidelands,Farm,4/10/20,5.017,5.088,
10,NA,NA,NA,Farm,NA,NA,NA,
11,NA,NA,NA,Farm,NA,NA,NA,
12,9,9,Blyn tidelands,Farm,4/10/20,4.852,4.268,
13,10,10,Blyn tidelands,Farm,4/10/20,6.308,5.904,
14,11,11,Blyn tidelands,Farm,4/10/20,5.318,4.547,
15,12,12,Blyn tidelands,Farm,4/10/20,6.197,5.262,
16,13,13,Blyn tidelands,Farm,4/10/20,5.561,4.246,
17,14,14,Blyn tidelands,Farm,4/10/20,5.122,4.918,
18,15,15,Blyn tidelands,Farm,4/10/20,6.287,4.011,
19,16,16,Blyn tidelands,Farm,4/10/20,3.301,2.695,
20,17,17,Blyn tidelands,Farm,4/10/20,5.66,5.273,
21,18,18,Blyn tidelands,Farm,4/10/20,5.453,4.904,
22,19,19,Blyn tidelands,Farm,4/10/20,4.622,4.104,
23,NA,NA,NA,Farm,NA,NA,NA,experimental set up 
24,NA,NA,NA,Farm,NA,NA,NA,note paper
25,40,40,Blyn tidelands,Farm,5/11/20,4.803,4.836,all collected from 4 in diameter tubes at 1-2 cockle density - large number of tubes had Nucella lamellosa whelk
26,41,41,Blyn tidelands,Farm,5/11/20,5.145,5.191,
27,42,42,Blyn tidelands,Farm,5/11/20,4.757,4.428,
28,43,43,Blyn tidelands,Farm,5/11/20,5.145,4.789,
29,44,44,Blyn tidelands,Farm,5/11/20,5.338,4.245,
30,45,45,Blyn tidelands,Farm,5/11/20,5.48,4.485,
31,46,46,Blyn tidelands,Farm,5/11/20,4.595,4.133,
32,47,47,Blyn tidelands,Farm,5/11/20,5.134,5.038,
33,48,48,Blyn tidelands,Farm,5/11/20,5.19,4.952,
34,49,49,Blyn tidelands,Farm,5/11/20,5.668,5.517,
35,50,50,Blyn tidelands,Farm,5/11/20,5.325,4.906,
36,51,51,Blyn tidelands,Farm,5/11/20,4.906,4.92,
37,52,52,Blyn tidelands,Farm,5/11/20,4.095,3.869,
38,NA,NA,NA,Farm,NA,NA,NA,
39,53,53,Blyn tidelands,Farm,5/11/20,3.95,3.39,
40,54,54,Blyn tidelands,Farm,5/11/20,4.795,4.451,
41,55,55,Blyn tidelands,Farm,5/11/20,4.009,3.492,
42,56,56,Blyn tidelands,Farm,5/11/20,4.661,4.77,
43,57,57,Blyn tidelands,Farm,5/11/20,5.069,5.71,
44,58,58,Blyn tidelands,Farm,5/11/20,3.875,3.932,
45,NA,NA,NA,Farm,NA,NA,NA,
46,59,59,Blyn tidelands,Farm,5/11/20,4.083,3.652,
47,NA,NA,Blyn tidelands,Farm,NA,NA,NA,NA
