Date,Date_number,Width (cm),Height (cm),,,,,,,,,
April,4/10/20,3.301,2.695,,,,,,,,,
April,4/10/20,4.501,3.638,,,,,,,,,
April,4/10/20,4.622,4.104,,,,,,,,,
April,4/10/20,4.852,4.268,,,,,,,,,
April,4/10/20,5.017,5.088,,,,,,,,,
April,4/10/20,5.122,4.918,,,,,,,,,
April,4/10/20,5.19,4.66,,,,,,,,,
April,4/10/20,5.304,4.802,,,,,,,,,
April,4/10/20,5.318,4.547,,,,,,,,,
April,4/10/20,5.453,4.904,,,,,,,,,
April,4/10/20,5.561,4.246,,,,,,,,,
April,4/10/20,5.66,5.273,,,,,,,,,
April,4/10/20,5.768,4.865,,,,,,,,,
April,4/10/20,5.994,5.331,,,,,,,,,
April,4/10/20,6.16,5.45,,,,,,,,,
April,4/10/20,6.197,5.262,,,,,,,,,
April,4/10/20,6.287,4.011,,,,,,,,,
April,4/10/20,6.308,5.904,,,,,,,,,
April,4/10/20,6.631,5.468,,,,,,,,,
May,5/11/20,3.875,3.932,,,,,,,,,
May,5/11/20,3.95,3.39,,,,,,,,,
May,5/11/20,4.009,3.492,,,,,,,,,
May,5/11/20,4.083,3.652,,,,,,,,,
May,5/11/20,4.095,3.869,,,,,,,,,
May,5/11/20,4.595,4.133,,,,,,,,,
May,5/11/20,4.661,4.77,,,,,,,,,
May,5/11/20,4.757,4.428,,,,,,,,,
May,5/11/20,4.795,4.451,,,,,,,,,
May,5/11/20,4.803,4.836,,,,,,,,,
May,5/11/20,4.906,4.92,,,,,,,,,
May,5/11/20,5.069,5.71,,,,,,,,,
May,5/11/20,5.134,5.038,,,,,,,,,
May,5/11/20,5.145,5.191,,,,,,,,,
May,5/11/20,5.145,4.789,,,,,,,,,
May,5/11/20,5.19,4.952,,,,,,,,,
May,5/11/20,5.325,4.906,,,,,,,,,
May,5/11/20,5.338,4.245,,,,,,,,,
May,5/11/20,5.48,4.485,,,,,,,,,
May,5/11/20,5.668,5.517,,,,,,,,,
July,7/6/20,2.662,2.684,,,,,,,,,
July,7/6/20,2.675,2.366,,,,,,,,,
July,7/6/20,2.746,2.679,,,,,,,,,
July,7/6/20,2.818,2.544,,,,,,,,,
July,7/6/20,2.828,2.616,,,,,,,,,
July,7/6/20,2.973,2.656,,,,,,,,,
July,7/6/20,3.009,2.88,,,,,,,,,
July,7/6/20,3.144,3.004,,,,,,,,,
July,7/6/20,3.19,3.157,,,,,,,,,
July,7/6/20,3.224,3.178,,,,,,,,,
July,7/6/20,3.344,3.199,,,,,,,,,
July,7/6/20,3.346,3.01,,,,,,,,,
July,7/6/20,3.5,3.198,,,,,,,,,
July,7/6/20,3.508,3.23,,,,,,,,,
July,7/6/20,3.517,2.969,,,,,,,,,
July,7/6/20,3.974,3.51,,,,,,,,,
July (Bags),7/8/20,5.418,4.761,,,,,,,,,
July (Bags),7/8/20,5.496,5.563,,,,,,,,,
July (Bags),7/8/20,6.025,5.698,,,,,,,,,
July (Bags),7/8/20,6.074,5.337,,,,,,,,,
July (Bags),7/8/20,6.133,6.152,,,,,,,,,
July (Bags),7/8/20,6.172,5.855,,,,,,,,,
July (Bags),7/8/20,6.391,6.999,,,,,,,,,
July (Bags),7/8/20,6.536,6.427,,,,,,,,,
July (Bags),7/8/20,6.611,6.574,,,,,,,,,
July (Bags),7/8/20,6.653,5.942,,,,,,,,,
